search_engine,search_string,title,media,timestamp,link
Google,Tata Lawsuits,IT services' focus on building IP and platforms may trigger more lawsuits,Business Standard,10 Oct 2024,https://www.business-standard.com/technology/tech-news/it-services-focus-on-building-ip-and-platforms-may-trigger-more-lawsuits-124100901370_1.html
Google,Tata Lawsuits,"From Singur, Mistry, Tata Tapes to Wadia: 5 controversies during Ratan Tata’s tenure",The Indian Express,11 Oct 2024,https://indianexpress.com/article/business/ratan-tata-singur-mistry-tata-tapes-wadia-controversies-9613283/
Google,Tata Lawsuits,IndiGo Files Trademark Infringement Claim Against Mahindra For ‘6e’ Branding; Automaker Responds,CarDekho,3 Dec 2024,https://www.cardekho.com/india-car-news/mahindra-responds-to-indigos-lawsuit-for-using-the-6e-term-in-be-6e-branding-33603.htm
Google,Tata Lawsuits,"More than 20 fired American workers have sued TCS, why and IT giant's response",Times of India,31 Mar 2024,https://timesofindia.indiatimes.com/technology/tech-news/more-than-20-fired-americans-workers-of-tcs-have-sued-the-company-what-are-the-allegations-and-it-giants-response/articleshow/108906267.cms
Google,Tata Lawsuits,"Tata Fired White US Workers in Favor of Visa Holders, Suit Says",Bloomberg Law News,9 Apr 2024,https://news.bloomberglaw.com/daily-labor-report/tata-fired-white-us-workers-in-favor-of-visa-holders-suit-says
Google,Tata Lawsuits,Exclusive | Fired Americans Say Indian Firm Gave Their Jobs to H-1B Visa Holders,WSJ,29 Mar 2024,https://www.wsj.com/business/fired-americans-say-indian-firm-gave-their-jobs-to-h-1b-visa-holders-6da7cf26
Google,Tata Lawsuits,"TCS fined Rs 1,600 crore by US court for misappropriation of trade secrets",The Economic Times,15 Jun 2024,https://m.economictimes.com/tech/information-tech/tcs-fined-rs-1600-crore-by-us-court-in-dxc-case/articleshow/111013835.cms
Google,Tata Lawsuits,TCS Asked To Pay $210 Million Fine To DXC Technology In Trade Secrets Row,Outlook Business,27 Nov 2023,https://www.outlookbusiness.com/news/tcs-asked-to-pay-210-million-fine-to-dxc-technology-in-trade-secrets-row
Google,Tata Lawsuits,"IBM, GlobalFoundries settle lawsuits over contract, trade secrets",The Star,1 month ago,https://www.thestar.com.my/tech/tech-news/2025/01/02/ibm-globalfoundries-settle-lawsuits-over-contract-trade-secrets
Google,Tata Lawsuits,"Third court case launched against Tata Steel, calls for closure",DutchNews.nl,27 May 2024,https://www.dutchnews.nl/2024/05/third-court-case-launched-against-tata-steel-calls-for-closure/
Bing,Tata Lawsuits,One of India’s most valuable companies has been hit with a second lawsuit for improper use’ of a software provider’s source code,Businessinsider,5y,https://www.businessinsider.in/tata-consultancy-services-gets-hit-with-second-lawsuit-for-stealing-software-code/articleshow/69111034.cms
Bing,Tata Lawsuits,Tata's Capital Foods sues Dabur over ‘Schezwan Chutney’ trademark: Report,Hindustantimes,18d,https://www.hindustantimes.com/business/tatas-capital-foods-sues-dabur-over-schezwan-chutney-trademark-report-101736930903962.html
Bing,Tata Lawsuits,"Tata Consultancy Services found not guilty of using discriminatory hiring practices against Americans, rules US jury",Businessinsider,6y,https://www.businessinsider.in/tata-consultancy-services-found-not-guilty-of-using-discriminatory-hiring-practices-against-americans-rules-us-jury/articleshow/66863609.cms
Bing,Tata Lawsuits,Here’s why Nykaa is suing Tata Cliq CEO Gopal Asthana,Msn,5mon,https://www.msn.com/en-in/news/other/here-s-why-nykaa-is-suing-tata-cliq-ceo-gopal-asthana/ar-AA1q29B2?ocid=BingNewsVerp
Bing,Tata Lawsuits,Tata buys majority stake in iPhone-maker Pegatron's India unit,Newsbytesapp,10d,https://www.newsbytesapp.com/news/business/tata-acquires-60-stake-in-pegatron-india-apple-s-assembly-partner/story
Yahoo,Tata Lawsuits,India's TCS to take $125 million hit to Q3 earnings over US lawsuit,Reuters·  via Yahoo Finance,1 year ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0n9wrQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2findias-tcs-125-million-hit-115115682.html%3ffr%3dsycsrp_catchall/RK=2/RS=VW2VQL_SHawRs9KjZ_MdxLQw9g4-
Yahoo,Tata Lawsuits,Mama & Tata Influencer Candice Miller Saddled with Husband’s $33.6 Million Debt After His Death by Suicide: Report,People·  via Yahoo News,1 month ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0n.QrQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-224820000.html%3ffr%3dsycsrp_catchall/RK=2/RS=TeqcANujweGAKTP3Urwy_0L4Z8A-
Yahoo,Tata Lawsuits,"Real estate mogul, husband of Mama + Tata influencer dead at 43",NY Post·  via Yahoo News,7 months ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0n.wrQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2freal-estate-mogul-husband-mama-191725327.html%3ffr%3dsycsrp_catchall/RK=2/RS=qQzYy68W5EpcwzN6.zQ5qTCc4Wo-
Yahoo,Tata Lawsuits,Mama & Tata Influencer Candice Miller Selling $15 Million Hamptons Home 1 Month After Husband Brandon's Death,People·  via AOL,6 months ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0n_QrQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2fwww.aol.com%2fmama-tata-influencer-candice-miller-170622813.html/RK=2/RS=_QTIEeDd_MivMG.xjMa0iGfg_yo-
Yahoo,Tata Lawsuits,Hundreds of Items Auctioned Off from Former Home of Mama & Tata Influencer Candice Miler After Late Husband’s Death,People·  via Yahoo News,1 month ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0n_wrQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fmama-tata-influencer-candice-miller-162003406.html%3ffr%3dsycsrp_catchall/RK=2/RS=AMtVi_zDqnIecnCNZjN0kNyzwlU-
Yahoo,Tata Lawsuits,TCS Revamps Organization Structure to Leverage Domain Knowledge,Bloomberg·  via Yahoo Finance,2 years ago,https://r.search.yahoo.com/_ylt=AwrjIcT196Bn_s0nAQvQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZANRMTIwMjUtU0RfMQRzZWMDc3I-/RV=2/RE=1738631285/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2ftcs-revamps-organization-structure-leverage-082432871.html%3ffr%3dsycsrp_catchall/RK=2/RS=5Ca_Jmy58NGCJ._d0qYJq1.ID7c-
